time,price,size
2025-07-16D08:13:32.365000000,3161.9,0.006
2025-07-16D08:13:32.365000000,3161.9,0.006
2025-07-16D08:13:32.365000000,3161.9,0.1426
2025-07-16D08:13:32.377000000,3161.9,0.1579
2025-07-16D08:13:32.390000000,3161.9,0.158
2025-07-16D08:13:32.402000000,3161.9,0.158
2025-07-16D08:13:32.412000000,3161.9,0.016
2025-07-16D08:13:32.412000000,3161.9,0.1419
2025-07-16D08:13:36.751000000,3162.53,0.0017
2025-07-16D08:13:36.751000000,3162.53,0.0017
2025-07-16D08:13:36.751000000,3162.53,0.006
2025-07-16D08:13:36.751000000,3162.53,0.006
2025-07-16D08:13:36.751000000,3162.53,0.082
2025-07-16D08:13:36.751000000,3162.53,1.3872
2025-07-16D08:13:36.751000000,3162.53,0.0908
2025-07-16D08:13:37.228000000,3162.54,0.5744
2025-07-16D08:13:37.653000000,3162.54,0.0018
2025-07-16D08:13:37.893000000,3162.54,0.0074
2025-07-16D08:13:40.317000000,3160.5,0.0016
2025-07-16D08:13:40.317000000,3160.5,0.1583
2025-07-16D08:13:40.317000000,3160.5,0.3164
2025-07-16D08:13:40.317000000,3160.5,0.0017
2025-07-16D08:13:40.487000000,3160.5,0.0129
2025-07-16D08:13:41.189000000,3160.49,0.0225
2025-07-16D08:13:41.189000000,3160.49,0.2656
2025-07-16D08:13:41.189000000,3160.49,0.026
2025-07-16D08:13:41.189000000,3160.49,0.0814
2025-07-16D08:13:41.482000000,3160.5,0.0091
2025-07-16D08:13:47.006000000,3160.64,0.0017
2025-07-16D08:13:47.006000000,3160.66,0.0032
2025-07-16D08:13:47.006000000,3160.75,0.0018
2025-07-16D08:13:47.006000000,3160.8,0.0016
2025-07-16D08:13:47.006000000,3160.8,0.0018
2025-07-16D08:13:48.365000000,3160.81,0.0017
2025-07-16D08:13:48.365000000,3160.81,0.0017
2025-07-16D08:13:48.365000000,3160.81,0.0142
2025-07-16D08:13:48.365000000,3160.81,0.0016
2025-07-16D08:13:48.365000000,3160.81,0.1389
2025-07-16D08:13:51.520000000,3160.81,0.0245
2025-07-16D08:13:51.520000000,3160.81,0.006
2025-07-16D08:13:51.520000000,3160.81,0.006
2025-07-16D08:13:51.520000000,3160.81,0.0018
2025-07-16D08:13:51.520000000,3160.81,0.0017
2025-07-16D08:13:51.520000000,3160.81,0.0017
2025-07-16D08:13:51.520000000,3160.81,0.0305
2025-07-16D08:13:52.377000000,3160.8,0.0326
2025-07-16D08:13:52.549000000,3160.81,0.0316
2025-07-16D08:13:53.097000000,3160.8,0.2318
2025-07-16D08:13:56.784000000,3160.81,0.054
2025-07-16D08:13:57.358000000,3160.81,0.01
2025-07-16D08:13:58.282000000,3160.81,0.0254
2025-07-16D08:13:58.282000000,3160.81,0.0739
2025-07-16D08:13:58.562000000,3160.81,0.0316
2025-07-16D08:13:58.613000000,3160.8,0.0159
2025-07-16D08:13:58.694000000,3160.81,0.0025
2025-07-16D08:13:58.713000000,3160.8,0.5952
2025-07-16D08:13:58.713000000,3160.8,1.3434
2025-07-16D08:13:58.713000000,3160.8,0.0614
2025-07-16D08:14:03.438000000,3159.56,0.0127
2025-07-16D08:14:03.438000000,3159.56,0.0017
2025-07-16D08:14:03.438000000,3159.56,0.0017
2025-07-16D08:14:03.438000000,3159.56,0.0016
2025-07-16D08:14:03.438000000,3159.56,0.006
2025-07-16D08:14:03.438000000,3159.56,0.006
2025-07-16D08:14:03.438000000,3159.56,0.0016
2025-07-16D08:14:03.534000000,3159.56,0.0345
2025-07-16D08:14:03.564000000,3159.56,0.0744
2025-07-16D08:14:03.567000000,3159.56,0.037
